curveType,secparam,n,d,roundCount,isSystemValid,isSchemeCorrect,Setup (s),EKGen (s),DKGen (s),Encryption (s),Decryption (s),elementOfZR (B),elementOfG1G2 (B),elementOfGT (B),mpk (B),msk (B),ek_S_A (B),dk_SBPA (B),CT (B)
SS512,128,10,5,1,True,True,0.030894491,0.119889369,1.103175993,0.442666664,0.032341140,30,90,174,2974,180,1800,9000,5034
SS512,128,15,5,1,True,True,0.037569756,0.278435416,1.946884688,0.683220707,0.058778227,30,90,174,3874,180,2700,13500,7284
SS512,128,15,10,1,True,True,0.035422697,0.169337024,2.155788986,0.859191252,0.069514309,30,90,174,3874,180,2700,13500,7284
SS512,128,20,5,1,True,True,0.078290559,0.481049808,3.588477689,1.074718218,0.090596675,30,90,174,4774,180,3600,18000,9534
SS512,128,20,10,1,True,True,0.044735061,0.464592129,3.759651813,1.373336340,0.048825651,30,90,174,4774,180,3600,18000,9534
SS512,128,20,15,1,True,True,0.074157532,0.467358836,3.194493383,1.305561277,0.064134915,30,90,174,4774,180,3600,18000,9534
SS512,128,25,5,1,True,True,0.075076063,0.880754142,5.230425055,2.303516170,0.060699468,30,90,174,5674,180,4500,22500,11784
SS512,128,25,10,1,True,True,0.074122261,0.655252036,5.034549334,1.660745960,0.056389790,30,90,174,5674,180,4500,22500,11784
SS512,128,25,15,1,True,True,0.075941482,0.866838411,5.960865501,2.204896494,0.057550317,30,90,174,5674,180,4500,22500,11784
SS512,128,25,20,1,True,True,0.089971781,0.697477767,5.237660099,1.756064215,0.067264169,30,90,174,5674,180,4500,22500,11784
SS512,128,30,5,1,True,True,0.072147492,0.744431201,6.024343148,2.458157377,0.077292601,30,90,174,6574,180,5400,27000,14034
SS512,128,30,10,1,True,True,0.063077296,1.083843484,6.391272923,2.804595676,0.123459778,30,90,174,6574,180,5400,27000,14034
SS512,128,30,15,1,True,True,0.069921019,0.818460170,6.572543139,2.375081024,0.074693526,30,90,174,6574,180,5400,27000,14034
SS512,128,30,20,1,True,True,0.065260138,0.748364432,7.277786441,2.660767745,0.084527486,30,90,174,6574,180,5400,27000,14034
SS512,128,30,25,1,True,True,0.076903317,1.022088704,6.852397073,3.007378117,0.141205098,30,90,174,6574,180,5400,27000,14034
SS512,160,10,5,1,True,True,0.034797633,0.107106798,1.166252848,0.365589813,0.022029950,30,90,174,2978,180,1800,9000,5034
SS512,160,15,5,1,True,True,0.052322742,0.197796740,2.050086093,0.806569600,0.046959526,30,90,174,3878,180,2700,13500,7284
SS512,160,15,10,1,True,True,0.086657724,0.309130399,2.075200246,0.697716299,0.036219607,30,90,174,3878,180,2700,13500,7284
SS512,160,20,5,1,True,True,0.050225204,0.356982028,3.842944430,1.427674062,0.068334634,30,90,174,4778,180,3600,18000,9534
SS512,160,20,10,1,True,True,0.075414241,0.319452434,3.511855629,1.147003373,0.093494588,30,90,174,4778,180,3600,18000,9534
SS512,160,20,15,1,True,True,0.076261271,0.419732785,4.109319574,1.541086546,0.068878501,30,90,174,4778,180,3600,18000,9534
SS512,160,25,5,1,True,True,0.066260328,0.559036423,5.312164768,1.879838677,0.065358958,30,90,174,5678,180,4500,22500,11784
SS512,160,25,10,1,True,True,0.063083269,0.808379062,5.255735375,2.154568285,0.126447521,30,90,174,5678,180,4500,22500,11784
SS512,160,25,15,1,True,True,0.095861083,0.820752273,5.120705326,2.224139074,0.072799909,30,90,174,5678,180,4500,22500,11784
SS512,160,25,20,1,True,True,0.083433778,0.716666215,5.131774765,2.086144036,0.077743505,30,90,174,5678,180,4500,22500,11784
SS512,160,30,5,1,True,True,0.081639059,0.950476412,8.070519598,3.202418807,0.128461578,30,90,174,6578,180,5400,27000,14034
SS512,160,30,10,1,True,True,0.078327261,0.670029883,6.898777759,1.982325346,0.146136677,30,90,174,6578,180,5400,27000,14034
SS512,160,30,15,1,True,True,0.073292722,0.741650108,7.516178181,2.271735513,0.078010465,30,90,174,6578,180,5400,27000,14034
SS512,160,30,20,1,True,True,0.107718800,1.024644293,6.586031124,2.432202758,0.073990725,30,90,174,6578,180,5400,27000,14034
SS512,160,30,25,1,True,True,0.106942941,0.838174719,7.862237609,2.767137151,0.103126615,30,90,174,6578,180,5400,27000,14034
SS512,224,10,5,1,True,True,0.051098016,0.142236877,0.983058887,0.483709623,0.024077809,30,90,174,2986,180,1800,9000,5034
SS512,224,15,5,1,True,True,0.036033905,0.194186718,2.480205577,0.765275449,0.038712613,30,90,174,3886,180,2700,13500,7284
SS512,224,15,10,1,True,True,0.037604329,0.334901861,2.002700182,0.875893778,0.051030899,30,90,174,3886,180,2700,13500,7284
SS512,224,20,5,1,True,True,0.096916353,0.523865758,3.319194626,1.346974390,0.063532850,30,90,174,4786,180,3600,18000,9534
SS512,224,20,10,1,True,True,0.049361352,0.390437628,2.927194173,1.466975397,0.050672836,30,90,174,4786,180,3600,18000,9534
SS512,224,20,15,1,True,True,0.062776409,0.478459709,2.894304775,1.241667507,0.057916625,30,90,174,4786,180,3600,18000,9534
SS512,224,25,5,1,True,True,0.093350875,0.673081641,5.621483921,2.097038701,0.094741283,30,90,174,5686,180,4500,22500,11784
SS512,224,25,10,1,True,True,0.095989211,0.779971325,5.033688474,2.257224034,0.084114971,30,90,174,5686,180,4500,22500,11784
SS512,224,25,15,1,True,True,0.059849074,0.579400694,3.675384635,1.605767566,0.085289506,30,90,174,5686,180,4500,22500,11784
SS512,224,25,20,1,True,True,0.080483167,0.612060371,4.486979266,1.815502962,0.111761307,30,90,174,5686,180,4500,22500,11784
SS512,224,30,5,1,True,True,0.073129643,0.853614528,6.794317818,2.319484482,0.080704563,30,90,174,6586,180,5400,27000,14034
SS512,224,30,10,1,True,True,0.069136751,0.831011728,6.886313433,2.465242212,0.068919130,30,90,174,6586,180,5400,27000,14034
SS512,224,30,15,1,True,True,0.063295990,0.798048767,7.278515119,2.743382063,0.090726344,30,90,174,6586,180,5400,27000,14034
SS512,224,30,20,1,True,True,0.069637974,1.039328203,7.436308109,2.426114711,0.114848759,30,90,174,6586,180,5400,27000,14034
SS512,224,30,25,1,True,True,0.066307975,0.851665718,5.884881071,2.332609077,0.080489297,30,90,174,6586,180,5400,27000,14034
SS512,256,10,5,1,True,True,0.041373945,0.139617945,1.047402817,0.403186529,0.033246548,30,90,174,2990,180,1800,9000,5034
SS512,256,15,5,1,True,True,0.050219754,0.223737430,1.860317341,0.645504940,0.033821578,30,90,174,3890,180,2700,13500,7284
SS512,256,15,10,1,True,True,0.035113581,0.286432467,2.407853305,0.963171763,0.047049809,30,90,174,3890,180,2700,13500,7284
SS512,256,20,5,1,True,True,0.063484153,0.454251764,3.461745107,1.278159083,0.059647343,30,90,174,4790,180,3600,18000,9534
SS512,256,20,10,1,True,True,0.084149725,0.389440802,3.397453374,1.460266667,0.052273423,30,90,174,4790,180,3600,18000,9534
SS512,256,20,15,1,True,True,0.046363144,0.368162930,2.859641881,1.215667058,0.059711997,30,90,174,4790,180,3600,18000,9534
SS512,256,25,5,1,True,True,0.063036528,0.699277461,5.015528695,2.151599956,0.093828505,30,90,174,5690,180,4500,22500,11784
